,gen_summaries,rouge_scores
21,"summarize: LAGOS, Nigeria (Reuters) -- Nigeria's television survival show has been suspended after a contestant drowned in preparation for the program, said Dutch brewer Heineken's local unit which is sponsoring the show.","{'rouge1': Score(precision=0.5555555555555556, recall=0.45454545454545453, fmeasure=0.5), 'rouge2': Score(precision=0.4230769230769231, recall=0.34375, fmeasure=0.3793103448275862), 'rougeL': Score(precision=0.48148148148148145, recall=0.3939393939393939, fmeasure=0.43333333333333324), 'rougeLsum': Score(precision=0.48148148148148145, recall=0.3939393939393939, fmeasure=0.43333333333333324)}"
22,"Oakley is a former employee of Bechtel Jacobs, the Department of Energy's prime environmental management contractor at the East Tennessee Technology Park, prosecutors said. East Tennessee Technology Park is an area of the DOE's Oak Ridge reservation ""where we are currently decontaminating and decommissioning buildings that were last used in 1985,"" Gerald Boyd, manager of the DOE's Oak Ridge site office, said Thursday.","{'rouge1': Score(precision=0.15217391304347827, recall=0.10606060606060606, fmeasure=0.125), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.10869565217391304, recall=0.07575757575757576, fmeasure=0.08928571428571429), 'rougeLsum': Score(precision=0.10869565217391304, recall=0.07575757575757576, fmeasure=0.08928571428571429)}"
23,"Midfielder Michael Essien, who scored a last-minute winner for Chelsea to knock Valencia out of last season's Champions League, has also been battling a leg injury but he took part in training on Tuesday and is expected to play.","{'rouge1': Score(precision=0.2702702702702703, recall=0.24390243902439024, fmeasure=0.2564102564102564), 'rouge2': Score(precision=0.027777777777777776, recall=0.025, fmeasure=0.026315789473684213), 'rougeL': Score(precision=0.16216216216216217, recall=0.14634146341463414, fmeasure=0.15384615384615383), 'rougeLsum': Score(precision=0.1891891891891892, recall=0.17073170731707318, fmeasure=0.17948717948717952)}"
24,"summarize: HONG KONG, China (Reuters) -- Paul Lee got his liver from an executed Chinese prisoner; Karam in Egypt bought a kidney for his sister for $5,300; in Istanbul Hakan is holding out for $30,700 for one of his kidneys. They","{'rouge1': Score(precision=0.16363636363636364, recall=0.21428571428571427, fmeasure=0.18556701030927836), 'rouge2': Score(precision=0.018518518518518517, recall=0.024390243902439025, fmeasure=0.021052631578947368), 'rougeL': Score(precision=0.10909090909090909, recall=0.14285714285714285, fmeasure=0.12371134020618557), 'rougeLsum': Score(precision=0.09090909090909091, recall=0.11904761904761904, fmeasure=0.10309278350515463)}"
25,"""I don't think it (problematic artist) is any more of an issue,"" said Wendy Diaz, entertainment underwriting director at Fireman's Fund Insurance Co., the leading film underwriter.","{'rouge1': Score(precision=0.125, recall=0.13793103448275862, fmeasure=0.13114754098360656), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09375, recall=0.10344827586206896, fmeasure=0.09836065573770493), 'rougeLsum': Score(precision=0.125, recall=0.13793103448275862, fmeasure=0.13114754098360656)}"
26,"Italy -- Italy and Roma striker Francesco Totti has threatened to quit the Italian Players Association, in a row over the starting date of the next Serie A season.","{'rouge1': Score(precision=0.5, recall=0.6428571428571429, fmeasure=0.5625000000000001), 'rouge2': Score(precision=0.3142857142857143, recall=0.4074074074074074, fmeasure=0.3548387096774193), 'rougeL': Score(precision=0.3888888888888889, recall=0.5, fmeasure=0.43750000000000006), 'rougeLsum': Score(precision=0.5, recall=0.6428571428571429, fmeasure=0.5625000000000001)}"
27,"Blackwater, which is based in Moyock, North Carolina, is a security firm hired by the State Department to guard U.S.","{'rouge1': Score(precision=0.075, recall=0.14285714285714285, fmeasure=0.0983606557377049), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.05, recall=0.09523809523809523, fmeasure=0.0655737704918033), 'rougeLsum': Score(precision=0.075, recall=0.14285714285714285, fmeasure=0.0983606557377049)}"
28,"summarize: LOS ANGELES, California (CNN) -- Youssif, the 5-year-old burned Iraqi boy, rounded the corner at Universal Studios when suddenly the little boy hero met his favorite superhero. ""All","{'rouge1': Score(precision=0.22857142857142856, recall=0.26666666666666666, fmeasure=0.24615384615384614), 'rouge2': Score(precision=0.058823529411764705, recall=0.06896551724137931, fmeasure=0.0634920634920635), 'rougeL': Score(precision=0.14285714285714285, recall=0.16666666666666666, fmeasure=0.15384615384615383), 'rougeLsum': Score(precision=0.2, recall=0.23333333333333334, fmeasure=0.2153846153846154)}"
29,"Thomas was found guilty Wednesday of kidnapping and conspiracy to commit several offenses -- including murder, larceny, housebreaking, kidnapping, and making false official statements -- for his involvement in the April 2006 death in Hamdaniya, Iraq.","{'rouge1': Score(precision=0.3157894736842105, recall=0.35294117647058826, fmeasure=0.33333333333333337), 'rouge2': Score(precision=0.10810810810810811, recall=0.12121212121212122, fmeasure=0.11428571428571428), 'rougeL': Score(precision=0.2894736842105263, recall=0.3235294117647059, fmeasure=0.30555555555555564), 'rougeLsum': Score(precision=0.3157894736842105, recall=0.35294117647058826, fmeasure=0.33333333333333337)}"
30,"summarize: LONDON, England (CNN) -- Prince Harry led tributes to Diana, Princess of Wales on the 10th anniversary of her death, describing her as ""the best mother in the world"" in a speech at a memorial service. But","{'rouge1': Score(precision=0.4, recall=0.4864864864864865, fmeasure=0.43902439024390244), 'rouge2': Score(precision=0.18181818181818182, recall=0.2222222222222222, fmeasure=0.19999999999999998), 'rougeL': Score(precision=0.2222222222222222, recall=0.2702702702702703, fmeasure=0.24390243902439024), 'rougeLsum': Score(precision=0.3111111111111111, recall=0.3783783783783784, fmeasure=0.34146341463414637)}"
31,"On Iran he is, in a way, merely echoing the words of his President who declared in a speech last month that a nuclear-armed Iran would be 'unacceptable' and describing the stand-off over its nuclear program as 'undoubtedly the most serious crisis before us today'.","{'rouge1': Score(precision=0.10638297872340426, recall=0.10638297872340426, fmeasure=0.10638297872340424), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.10638297872340426, recall=0.10638297872340426, fmeasure=0.10638297872340424), 'rougeLsum': Score(precision=0.10638297872340426, recall=0.10638297872340426, fmeasure=0.10638297872340424)}"
32,"If that's the case, then ""Lola"" is just another notch on Darling's song belt -- she's also referred to in Lou Reed's ""Walk on the Wild Side."" (""Candy came from out on the Island/ In the backroom she was everybody's darlin'."") But","{'rouge1': Score(precision=0.0967741935483871, recall=0.06521739130434782, fmeasure=0.07792207792207793), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.06451612903225806, recall=0.043478260869565216, fmeasure=0.05194805194805195), 'rougeLsum': Score(precision=0.0967741935483871, recall=0.06521739130434782, fmeasure=0.07792207792207793)}"
33,"summarize: WASHINGTON (CNN) -- A wide-open presidential race and a willingness by candidates, interest groups, unions and corporations to buy TV time will lead to historic spending for political and issue-advocacy advertising in the 2008 election cycle, an analysis shows. C","{'rouge1': Score(precision=0.24324324324324326, recall=0.21428571428571427, fmeasure=0.2278481012658228), 'rouge2': Score(precision=0.027777777777777776, recall=0.024390243902439025, fmeasure=0.025974025974025976), 'rougeL': Score(precision=0.13513513513513514, recall=0.11904761904761904, fmeasure=0.12658227848101267), 'rougeLsum': Score(precision=0.21621621621621623, recall=0.19047619047619047, fmeasure=0.20253164556962025)}"
34,A Buddhist monk blesses the wreckage of One-Two-Go airline's MD-82 jet at Phuket airport on Tuesday. Embassy in Bangkok said that five Americans were among those killed when the One-Two-Go jet crashed in bad weather as it landed at Phuket's airport on Sunday.,"{'rouge1': Score(precision=0.33962264150943394, recall=0.36, fmeasure=0.3495145631067961), 'rouge2': Score(precision=0.11538461538461539, recall=0.12244897959183673, fmeasure=0.11881188118811882), 'rougeL': Score(precision=0.24528301886792453, recall=0.26, fmeasure=0.2524271844660194), 'rougeLsum': Score(precision=0.2830188679245283, recall=0.3, fmeasure=0.2912621359223301)}"
35,"Michael Moore and CNN's Sanjay Gupta argued Tuesday about Gupta's report on Moore's film ""Sicko"" Moore criticized a report Gupta did on CNN Monday on ""Sicko.""","{'rouge1': Score(precision=0.4594594594594595, recall=0.5862068965517241, fmeasure=0.5151515151515151), 'rouge2': Score(precision=0.3333333333333333, recall=0.42857142857142855, fmeasure=0.375), 'rougeL': Score(precision=0.2972972972972973, recall=0.3793103448275862, fmeasure=0.33333333333333337), 'rougeLsum': Score(precision=0.43243243243243246, recall=0.5517241379310345, fmeasure=0.48484848484848486)}"
36,"ally and NATO partner, was incensed by the resolution calling the killing of Armenians by Ottoman Turks genocide and threatened to block access to Incirlik Air Base after the resolution passed a House committee vote. ""More than half of the cargo flown into Iraq and Afghanistan comes through Incirlik Air Base, and this base would be a key component of any plans for redeployment of our troops in the future,"" they wrote.","{'rouge1': Score(precision=0.4, recall=0.25, fmeasure=0.3076923076923077), 'rouge2': Score(precision=0.11363636363636363, recall=0.07042253521126761, fmeasure=0.08695652173913043), 'rougeL': Score(precision=0.26666666666666666, recall=0.16666666666666666, fmeasure=0.2051282051282051), 'rougeLsum': Score(precision=0.35555555555555557, recall=0.2222222222222222, fmeasure=0.27350427350427353)}"
37,"CNN first broadcast his story in May where it caught the attention of an American charity, the Global Medical Relief Fund, which offered to help. But first, he says, he wants to walk to water the tree he planted next to his cousin's grave.","{'rouge1': Score(precision=0.2549019607843137, recall=0.28888888888888886, fmeasure=0.2708333333333333), 'rouge2': Score(precision=0.02, recall=0.022727272727272728, fmeasure=0.02127659574468085), 'rougeL': Score(precision=0.11764705882352941, recall=0.13333333333333333, fmeasure=0.125), 'rougeLsum': Score(precision=0.19607843137254902, recall=0.2222222222222222, fmeasure=0.20833333333333334)}"
38,"""This is a very special moment for us women, and men of course, in our country because for the first time we have a woman being elected president of India,"" Congress party leader Sonia Gandhi, India's most powerful politician, said.","{'rouge1': Score(precision=0.23255813953488372, recall=0.24390243902439024, fmeasure=0.2380952380952381), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.11627906976744186, recall=0.12195121951219512, fmeasure=0.11904761904761905), 'rougeLsum': Score(precision=0.18604651162790697, recall=0.1951219512195122, fmeasure=0.1904761904761905)}"
39,"summarize: SAN DIEGO, California (CNN) -- More than 100 homes in an upscale San Diego community were evacuated after a landslide about 60 yards wide pulled the earth from beneath a three-lane road and some of the multimillion-dollar homes that adorn it.","{'rouge1': Score(precision=0.23404255319148937, recall=0.2558139534883721, fmeasure=0.24444444444444444), 'rouge2': Score(precision=0.043478260869565216, recall=0.047619047619047616, fmeasure=0.04545454545454545), 'rougeL': Score(precision=0.1702127659574468, recall=0.18604651162790697, fmeasure=0.17777777777777776), 'rougeLsum': Score(precision=0.19148936170212766, recall=0.20930232558139536, fmeasure=0.2)}"
40,"summarize: ABECHE, Chad (CNN) -- Most of the 103 children that a French charity attempted to take to France from Chad for adoption are neither Sudanese nor orphans, three international aid agencies reported on Thursday. ""So","{'rouge1': Score(precision=0.25, recall=0.3142857142857143, fmeasure=0.27848101265822783), 'rouge2': Score(precision=0.023255813953488372, recall=0.029411764705882353, fmeasure=0.025974025974025976), 'rougeL': Score(precision=0.1590909090909091, recall=0.2, fmeasure=0.17721518987341772), 'rougeLsum': Score(precision=0.20454545454545456, recall=0.2571428571428571, fmeasure=0.22784810126582275)}"
41,"Many climatologists and scientists say arctic ice melt and other changes in the Earth's climate are the result of an increase in the world's temperature, a trend widely called global warming. The IPCC in February 2007 projected that if carbon dioxide levels doubled relative to pre-industrial levels, temperatures could","{'rouge1': Score(precision=0.3225806451612903, recall=0.19230769230769232, fmeasure=0.24096385542168675), 'rouge2': Score(precision=0.03333333333333333, recall=0.0196078431372549, fmeasure=0.024691358024691357), 'rougeL': Score(precision=0.16129032258064516, recall=0.09615384615384616, fmeasure=0.12048192771084337), 'rougeLsum': Score(precision=0.3225806451612903, recall=0.19230769230769232, fmeasure=0.24096385542168675)}"
42,"summarize: MOGADISHU, Somalia (CNN) -- An enraged","{'rouge1': Score(precision=0.0392156862745098, recall=0.3333333333333333, fmeasure=0.07017543859649122), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0392156862745098, recall=0.3333333333333333, fmeasure=0.07017543859649122), 'rougeLsum': Score(precision=0.0392156862745098, recall=0.3333333333333333, fmeasure=0.07017543859649122)}"
43,"In another development, a judge signed an order to exhume the body of Drew Peterson's third wife, who was found drowned in a bathtub in 2004, said Will County State Attorney James Glasgow. Drew Peterson allowed a limited search on the night his wife was reported missing, but investigators were not allowed to look throughout the entire house and were given access to only one of the vehicles at that time, Do","{'rouge1': Score(precision=0.4897959183673469, recall=0.3287671232876712, fmeasure=0.3934426229508196), 'rouge2': Score(precision=0.22916666666666666, recall=0.1527777777777778, fmeasure=0.18333333333333335), 'rougeL': Score(precision=0.3877551020408163, recall=0.2602739726027397, fmeasure=0.3114754098360656), 'rougeLsum': Score(precision=0.3469387755102041, recall=0.2328767123287671, fmeasure=0.2786885245901639)}"
44,"The 31-year-old, who is unseeded after accepting a wild-card to enter the Canadian tournament for the first time, also had to battle to beat Russian second seed Vera Zvonareva 6-2 6-7 (3-7) 6-3 in the semifinals.","{'rouge1': Score(precision=0.2702702702702703, recall=0.23255813953488372, fmeasure=0.25), 'rouge2': Score(precision=0.1111111111111111, recall=0.09523809523809523, fmeasure=0.10256410256410256), 'rougeL': Score(precision=0.21621621621621623, recall=0.18604651162790697, fmeasure=0.2), 'rougeLsum': Score(precision=0.2702702702702703, recall=0.23255813953488372, fmeasure=0.25)}"
45,"summarize: ISLAMABAD, Pakistan (CNN) -- Hours after declaring a state of emergency Saturday, Pakistani President Pervez Musharraf ordered troops to take a television station's equipment and put a popular opposition leader under house arrest. The","{'rouge1': Score(precision=0.4883720930232558, recall=0.6, fmeasure=0.5384615384615383), 'rouge2': Score(precision=0.2857142857142857, recall=0.35294117647058826, fmeasure=0.31578947368421056), 'rougeL': Score(precision=0.3953488372093023, recall=0.4857142857142857, fmeasure=0.43589743589743585), 'rougeLsum': Score(precision=0.4186046511627907, recall=0.5142857142857142, fmeasure=0.4615384615384615)}"
46,"Singer allegedly initiated contact with the undercover detective, posing as the mother, in an America On Line chat room called ""Cuties."" The chat room attracts people who ""are known to trade in pornographic images, including child pornography,"" according to an affidavit filed in the case by a special agent who investigates child pornography and child exploitation for U.S. ""On five separate occasions in August 2007, Singer sent several images of child pornography over the Internet to the mother and the","{'rouge1': Score(precision=0.2916666666666667, recall=0.1728395061728395, fmeasure=0.21705426356589147), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.14583333333333334, recall=0.08641975308641975, fmeasure=0.10852713178294573), 'rougeLsum': Score(precision=0.2708333333333333, recall=0.16049382716049382, fmeasure=0.20155038759689922)}"
47,"summarize: (CNN) -- With his hands and feet shackled and his face obscured by his long hair, Chester Arthur Stiles made his initial court appearance in Las Vegas, Nevada, on Wednesday morning on charges stemming from the videotaped rape of a 2-year-old girl. Another","{'rouge1': Score(precision=0.17073170731707318, recall=0.15555555555555556, fmeasure=0.1627906976744186), 'rouge2': Score(precision=0.05, recall=0.045454545454545456, fmeasure=0.04761904761904762), 'rougeL': Score(precision=0.14634146341463414, recall=0.13333333333333333, fmeasure=0.13953488372093023), 'rougeLsum': Score(precision=0.17073170731707318, recall=0.15555555555555556, fmeasure=0.1627906976744186)}"
48,"summarize: JOHANNESBURG, South Africa -- South African fast bowler Dale Steyn took a career-best five for 34 as the Proteas took a tight grip on the first test against New Zealand in Johannesburg.","{'rouge1': Score(precision=0.40476190476190477, recall=0.5151515151515151, fmeasure=0.4533333333333333), 'rouge2': Score(precision=0.17073170731707318, recall=0.21875, fmeasure=0.19178082191780824), 'rougeL': Score(precision=0.23809523809523808, recall=0.30303030303030304, fmeasure=0.26666666666666666), 'rougeLsum': Score(precision=0.38095238095238093, recall=0.48484848484848486, fmeasure=0.4266666666666667)}"
